# D(g-r),sSNRL
-1.1000e+00,-5.1151e+01
-1.0900e+00,-5.1165e+01
-1.0800e+00,-5.1180e+01
-1.0700e+00,-5.1198e+01
-1.0600e+00,-5.1218e+01
-1.0500e+00,-5.1243e+01
-1.0400e+00,-5.1269e+01
-1.0300e+00,-5.1294e+01
-1.0200e+00,-5.1322e+01
-1.0100e+00,-5.1353e+01
-1.0000e+00,-5.1386e+01
-9.9000e-01,-5.1428e+01
-9.8000e-01,-5.1480e+01
-9.7000e-01,-5.1530e+01
-9.6000e-01,-5.1572e+01
-9.5000e-01,-1.3393e+01
-9.4000e-01,-1.2706e+01
-9.3000e-01,-1.2561e+01
-9.2000e-01,-1.2504e+01
-9.1000e-01,-1.2487e+01
-9.0000e-01,-1.2485e+01
-8.9000e-01,-1.2489e+01
-8.8000e-01,-1.2496e+01
-8.7000e-01,-1.2505e+01
-8.6000e-01,-1.2514e+01
-8.5000e-01,-1.2524e+01
-8.4000e-01,-1.2534e+01
-8.3000e-01,-1.2543e+01
-8.2000e-01,-1.2553e+01
-8.1000e-01,-1.2563e+01
-8.0000e-01,-1.2572e+01
-7.9000e-01,-1.2581e+01
-7.8000e-01,-1.2591e+01
-7.7000e-01,-1.2600e+01
-7.6000e-01,-1.2609e+01
-7.5000e-01,-1.2618e+01
-7.4000e-01,-1.2627e+01
-7.3000e-01,-1.2635e+01
-7.2000e-01,-1.2644e+01
-7.1000e-01,-1.2653e+01
-7.0000e-01,-1.2663e+01
-6.9000e-01,-1.2672e+01
-6.8000e-01,-1.2681e+01
-6.7000e-01,-1.2690e+01
-6.6000e-01,-1.2700e+01
-6.5000e-01,-1.2709e+01
-6.4000e-01,-1.2719e+01
-6.3000e-01,-1.2728e+01
-6.2000e-01,-1.2738e+01
-6.1000e-01,-1.2747e+01
-6.0000e-01,-1.2757e+01
-5.9000e-01,-1.2767e+01
-5.8000e-01,-1.2777e+01
-5.7000e-01,-1.2787e+01
-5.6000e-01,-1.2797e+01
-5.5000e-01,-1.2807e+01
-5.4000e-01,-1.2818e+01
-5.3000e-01,-1.2828e+01
-5.2000e-01,-1.2839e+01
-5.1000e-01,-1.2849e+01
-5.0000e-01,-1.2860e+01
-4.9000e-01,-1.2871e+01
-4.8000e-01,-1.2883e+01
-4.7000e-01,-1.2894e+01
-4.6000e-01,-1.2906e+01
-4.5000e-01,-1.2918e+01
-4.4000e-01,-1.2930e+01
-4.3000e-01,-1.2942e+01
-4.2000e-01,-1.2954e+01
-4.1000e-01,-1.2967e+01
-4.0000e-01,-1.2980e+01
-3.9000e-01,-1.2993e+01
-3.8000e-01,-1.3007e+01
-3.7000e-01,-1.3021e+01
-3.6000e-01,-1.3035e+01
-3.5000e-01,-1.3050e+01
-3.4000e-01,-1.3065e+01
-3.3000e-01,-1.3080e+01
-3.2000e-01,-1.3095e+01
-3.1000e-01,-1.3110e+01
-3.0000e-01,-1.3129e+01
-2.9000e-01,-1.3146e+01
-2.8000e-01,-1.3163e+01
-2.7000e-01,-1.3181e+01
-2.6000e-01,-1.3199e+01
-2.5000e-01,-1.3218e+01
-2.4000e-01,-1.3237e+01
-2.3000e-01,-1.3256e+01
-2.2000e-01,-1.3286e+01
-2.1000e-01,-1.3308e+01
-2.0000e-01,-1.3330e+01
-1.9000e-01,-1.3353e+01
-1.8000e-01,-1.3379e+01
-1.7000e-01,-1.3405e+01
-1.6000e-01,-1.3438e+01
-1.5000e-01,-1.3465e+01
-1.4000e-01,-1.3497e+01
-1.3000e-01,-1.3529e+01
-1.2000e-01,-1.3562e+01
-1.1000e-01,-1.3595e+01
-1.0000e-01,-1.3632e+01
-9.0000e-02,-1.3671e+01
-8.0000e-02,-1.3711e+01
-7.0000e-02,-1.3782e+01
-6.0000e-02,-1.3831e+01
-5.0000e-02,-1.3879e+01
-4.0000e-02,-1.3932e+01
-3.0000e-02,-1.3988e+01
-2.0000e-02,-1.4044e+01
-1.0000e-02,-1.4103e+01
8.8818e-16,-1.4163e+01
1.0000e-02,-1.4247e+01
2.0000e-02,-1.4299e+01
3.0000e-02,-1.4365e+01
4.0000e-02,-1.4365e+01
5.0000e-02,-1.4365e+01
6.0000e-02,-1.4365e+01
7.0000e-02,-1.4365e+01
8.0000e-02,-1.4365e+01
9.0000e-02,-1.4365e+01
1.0000e-01,-1.4365e+01
1.1000e-01,-1.4365e+01
1.2000e-01,-1.4365e+01
1.3000e-01,-1.4365e+01
1.4000e-01,-1.4365e+01
1.5000e-01,-1.4365e+01
1.6000e-01,-1.4365e+01
1.7000e-01,-1.4365e+01
1.8000e-01,-1.4365e+01
1.9000e-01,-1.4365e+01
2.0000e-01,-1.4365e+01
2.1000e-01,-1.4365e+01
2.2000e-01,-1.4365e+01
2.3000e-01,-1.4365e+01
2.4000e-01,-1.4365e+01
2.5000e-01,-1.4365e+01
2.6000e-01,-1.4365e+01
2.7000e-01,-1.4365e+01
2.8000e-01,-1.4365e+01
2.9000e-01,-1.4365e+01
3.0000e-01,-1.4365e+01
3.1000e-01,-1.4365e+01
3.2000e-01,-1.4365e+01
3.3000e-01,-1.4365e+01
3.4000e-01,-1.4365e+01
3.5000e-01,-1.4365e+01
3.6000e-01,-1.4365e+01
3.7000e-01,-1.4365e+01
3.8000e-01,-1.4365e+01
3.9000e-01,-1.4365e+01
4.0000e-01,-1.4365e+01
4.1000e-01,-1.4365e+01
4.2000e-01,-1.4365e+01
4.3000e-01,-1.4365e+01
4.4000e-01,-1.4365e+01
4.5000e-01,-1.4365e+01
4.6000e-01,-1.4365e+01
4.7000e-01,-1.4365e+01
4.8000e-01,-1.4365e+01
4.9000e-01,-1.4365e+01
5.0000e-01,-1.4365e+01
5.1000e-01,-1.4365e+01
5.2000e-01,-1.4365e+01
5.3000e-01,-1.4365e+01
5.4000e-01,-1.4365e+01
5.5000e-01,-1.4365e+01
5.6000e-01,-1.4365e+01
5.7000e-01,-1.4365e+01
5.8000e-01,-1.4365e+01
5.9000e-01,-1.4365e+01
6.0000e-01,-1.4365e+01
6.1000e-01,-1.4365e+01
6.2000e-01,-1.4365e+01
6.3000e-01,-1.4365e+01
6.4000e-01,-1.4365e+01
6.5000e-01,-1.4365e+01
6.6000e-01,-1.4365e+01
6.7000e-01,-1.4365e+01
6.8000e-01,-1.4365e+01
6.9000e-01,-1.4365e+01
7.0000e-01,-1.4365e+01
7.1000e-01,-1.4365e+01
7.2000e-01,-1.4365e+01
7.3000e-01,-1.4365e+01
7.4000e-01,-1.4365e+01
7.5000e-01,-1.4365e+01
7.6000e-01,-1.4365e+01
7.7000e-01,-1.4365e+01
7.8000e-01,-1.4365e+01
7.9000e-01,-1.4365e+01
8.0000e-01,-1.4365e+01
8.1000e-01,-1.4365e+01
8.2000e-01,-1.4365e+01
8.3000e-01,-1.4365e+01
8.4000e-01,-1.4365e+01
8.5000e-01,-1.4365e+01
8.6000e-01,-1.4365e+01
8.7000e-01,-1.4365e+01
8.8000e-01,-1.4365e+01
8.9000e-01,-1.4365e+01
9.0000e-01,-1.4365e+01
9.1000e-01,-1.4365e+01
9.2000e-01,-1.4365e+01
9.3000e-01,-1.4365e+01
9.4000e-01,-1.4365e+01
9.5000e-01,-1.4365e+01
9.6000e-01,-1.4365e+01
9.7000e-01,-1.4365e+01
9.8000e-01,-1.4365e+01
9.9000e-01,-1.4365e+01
1.0000e+00,-1.4365e+01
